Year,Type,Total,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2001,Fall in Social Reputation,0,,,
2002,Paralysis,0,,,
2002,Causes Not known,0,,,
2002,Insanity/Mental Illness,0,,,
2002,Professional/Career Problem,0,,,
2002,Cancellation of Marriage,0,,,
2002,Love Affairs,0,,,
2002,Illness (Aids/STD),0,,,
2002,Unemployment,0,,,
2002,Cancer,0,,,
2002,Other Prolonged Illness,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Divorce,0,,,
2002,Fall in Social Reputation,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Other Causes (Please Specity),0,,,
2002,Property Dispute,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Bankruptcy,0,,,
2002,Death of Dear Person,0,,,
2002,Poverty,0,,,
2002,Dowry Dispute,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Death of Dear Person,0,,,
2002,Cancellation of Marriage,0,,,
2002,Divorce,0,,,
2002,Cancer,0,,,
2002,Unemployment,0,,,
2002,Paralysis,0,,,
2002,Other Causes (Please Specity),0,,,
2002,Other Prolonged Illness,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Property Dispute,0,,,
2002,Professional/Career Problem,0,,,
2002,Bankruptcy,0,,,
2002,Poverty,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Causes Not known,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Love Affairs,0,,,
2002,Illness (Aids/STD),0,,,
2002,Insanity/Mental Illness,0,,,
2002,Dowry Dispute,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Fall in Social Reputation,0,,,
2002,Fall in Social Reputation,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Bankruptcy,0,,,
2002,Death of Dear Person,0,,,
2002,Unemployment,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Property Dispute,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Cancellation of Marriage,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Cancer,0,,,
2002,Divorce,0,,,
2002,Poverty,0,,,
2002,Paralysis,0,,,
2002,Professional/Career Problem,0,,,
2002,Dowry Dispute,0,,,
2002,Illness (Aids/STD),0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Bankruptcy,0,,,
2002,Paralysis,0,,,
2002,Dowry Dispute,0,,,
2002,Cancellation of Marriage,0,,,
2002,Divorce,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Property Dispute,0,,,
2002,Fall in Social Reputation,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Death of Dear Person,0,,,
2002,Failure in Examination,0,,,
2002,Illness (Aids/STD),0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Cancer,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Professional/Career Problem,0,,,
2002,Poverty,0,,,
2002,Illness (Aids/STD),0,,,
2002,Dowry Dispute,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Bankruptcy,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Failure in Examination,0,,,
2002,Poverty,0,,,
2002,Death of Dear Person,0,,,
2002,Divorce,0,,,
2002,Professional/Career Problem,0,,,
2002,Paralysis,0,,,
2002,Unemployment,0,,,
2002,Cancer,0,,,
2002,Cancellation of Marriage,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Property Dispute,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Fall in Social Reputation,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Cancellation of Marriage,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Property Dispute,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Failure in Examination,0,,,
2002,Cancer,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Poverty,0,,,
2002,Death of Dear Person,0,,,
2002,Divorce,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Illness (Aids/STD),0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Fall in Social Reputation,0,,,
2002,Paralysis,0,,,
2002,Unemployment,0,,,
2002,Professional/Career Problem,0,,,
2002,Bankruptcy,0,,,
2002,Dowry Dispute,0,,,
2002,Property Dispute,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Failure in Examination,0,,,
2002,Cancer,0,,,
2002,Dowry Dispute,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Divorce,0,,,
2002,Professional/Career Problem,0,,,
2002,Cancellation of Marriage,0,,,
2002,Paralysis,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Illness (Aids/STD),0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Fall in Social Reputation,0,,,
2002,Bankruptcy,0,,,
2002,Love Affairs,0,,,
2002,Poverty,0,,,
2002,Unemployment,0,,,
2002,Poverty,0,,,
2002,Love Affairs,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Paralysis,0,,,
2002,Dowry Dispute,0,,,
2002,Divorce,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Bankruptcy,0,,,
2002,Cancer,0,,,
2002,Death of Dear Person,0,,,
2002,Failure in Examination,0,,,
2002,Illness (Aids/STD),0,,,
2002,Cancellation of Marriage,0,,,
2002,Property Dispute,0,,,
2002,Professional/Career Problem,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Fall in Social Reputation,0,,,
2002,Unemployment,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Paralysis,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Poverty,0,,,
2002,Bankruptcy,0,,,
2002,Fall in Social Reputation,0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Other Causes (Please Specity),0,,,
2002,Professional/Career Problem,0,,,
2002,Property Dispute,0,,,
2002,Death of Dear Person,0,,,
2002,Illness (Aids/STD),0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Family Problems,0,,,
2002,Cancer,0,,,
2002,Cancellation of Marriage,0,,,
2002,Love Affairs,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Divorce,0,,,
2002,Unemployment,0,,,
2002,Dowry Dispute,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Failure in Examination,0,,,
2002,Bankruptcy,0,,,
2002,Ideological Causes/Hero Worshipping,0,,,
2002,Not having Children (Barrenness/Impotency,0,,,
2002,Dowry Dispute,0,,,
2002,Love Affairs,0,,,
2002,Unemployment,0,,,
2002,Cancellation of Marriage,0,,,
2002,Property Dispute,0,,,
2002,Fall in Social Reputation,0,,,
2002,Family Problems,0,,,
2002,Illness (Aids/STD),0,,,
2002,Paralysis,0,,,
2002,Poverty,0,,,
2002,Failure in Examination,0,,,
2002,Cancer,0,,,
2002,Divorce,0,,,
2002,Drug Abuse/Addiction,0,,,
2002,Physical Abuse (Rape/Incest Etc.),0,,,
2002,Illegitimate Pregnancy,0,,,
2002,Suspected/Illicit Relation,0,,,
2002,Professional/Career Problem,0,,,
2003,Property Dispute,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Unemployment,0,,,
2003,Cancer,0,,,
2003,Cancellation of Marriage,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Fall in Social Reputation,0,,,
2003,Divorce,0,,,
2003,Bankruptcy,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Insanity/Mental Illness,0,,,
2003,Professional/Career Problem,0,,,
2003,Illness (Aids/STD),0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Other Prolonged Illness,0,,,
2003,Failure in Examination,0,,,
2003,Love Affairs,0,,,
2003,Poverty,0,,,
2003,Paralysis,0,,,
2003,Dowry Dispute,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Causes Not known,0,,,
2003,Death of Dear Person,0,,,
2003,Insanity/Mental Illness,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Poverty,0,,,
2003,Unemployment,0,,,
2003,Cancellation of Marriage,0,,,
2003,Love Affairs,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Failure in Examination,0,,,
2003,Other Causes (Please Specity),0,,,
2003,Professional/Career Problem,0,,,
2003,Property Dispute,0,,,
2003,Cancer,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Dowry Dispute,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Other Prolonged Illness,0,,,
2003,Divorce,0,,,
2003,Illness (Aids/STD),0,,,
2003,Bankruptcy,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Paralysis,0,,,
2003,Family Problems,0,,,
2003,Divorce,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Property Dispute,0,,,
2003,Death of Dear Person,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Professional/Career Problem,0,,,
2003,Paralysis,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Unemployment,0,,,
2003,Dowry Dispute,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Fall in Social Reputation,0,,,
2003,Cancer,0,,,
2003,Failure in Examination,0,,,
2003,Poverty,0,,,
2003,Bankruptcy,0,,,
2003,Illness (Aids/STD),0,,,
2003,Illness (Aids/STD),0,,,
2003,Professional/Career Problem,0,,,
2003,Property Dispute,0,,,
2003,Bankruptcy,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Insanity/Mental Illness,0,,,
2003,Cancer,0,,,
2003,Divorce,0,,,
2003,Dowry Dispute,0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Death of Dear Person,0,,,
2003,Unemployment,0,,,
2003,Paralysis,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Cancellation of Marriage,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Illness (Aids/STD),0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Professional/Career Problem,0,,,
2003,Death of Dear Person,0,,,
2003,Dowry Dispute,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Cancellation of Marriage,0,,,
2003,Property Dispute,0,,,
2003,Bankruptcy,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Unemployment,0,,,
2003,Failure in Examination,0,,,
2003,Poverty,0,,,
2003,Divorce,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Love Affairs,0,,,
2003,Insanity/Mental Illness,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Cancer,0,,,
2003,Paralysis,0,,,
2003,Illness (Aids/STD),0,,,
2003,Paralysis,0,,,
2003,Dowry Dispute,0,,,
2003,Bankruptcy,0,,,
2003,Love Affairs,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Property Dispute,0,,,
2003,Failure in Examination,0,,,
2003,Death of Dear Person,0,,,
2003,Divorce,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Unemployment,0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Professional/Career Problem,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Cancer,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Paralysis,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Insanity/Mental Illness,0,,,
2003,Property Dispute,0,,,
2003,Cancellation of Marriage,0,,,
2003,Family Problems,0,,,
2003,Poverty,0,,,
2003,Causes Not known,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Cancer,0,,,
2003,Dowry Dispute,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Fall in Social Reputation,0,,,
2003,Professional/Career Problem,0,,,
2003,Illness (Aids/STD),0,,,
2003,Unemployment,0,,,
2003,Death of Dear Person,0,,,
2003,Divorce,0,,,
2003,Love Affairs,0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Failure in Examination,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Bankruptcy,0,,,
2003,Other Causes (Please Specity),0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Divorce,0,,,
2003,Fall in Social Reputation,0,,,
2003,Unemployment,0,,,
2003,Paralysis,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Bankruptcy,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Professional/Career Problem,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Poverty,0,,,
2003,Dowry Dispute,0,,,
2003,Cancellation of Marriage,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Love Affairs,0,,,
2003,Property Dispute,0,,,
2003,Cancer,0,,,
2003,Failure in Examination,0,,,
2003,Death of Dear Person,0,,,
2003,Illness (Aids/STD),0,,,
2003,Divorce,0,,,
2003,Failure in Examination,0,,,
2003,Poverty,0,,,
2003,Love Affairs,0,,,
2003,Unemployment,0,,,
2003,Bankruptcy,0,,,
2003,Drug Abuse/Addiction,0,,,
2003,Family Problems,0,,,
2003,Other Prolonged Illness,0,,,
2003,Cancellation of Marriage,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Professional/Career Problem,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Dowry Dispute,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Other Causes (Please Specity),0,,,
2003,Death of Dear Person,0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Causes Not known,0,,,
2003,Fall in Social Reputation,0,,,
2003,Property Dispute,0,,,
2003,Cancer,0,,,
2003,Illness (Aids/STD),0,,,
2003,Paralysis,0,,,
2003,Suspected/Illicit Relation,0,,,
2003,Illegitimate Pregnancy,0,,,
2003,Failure in Examination,0,,,
2003,Fall in Social Reputation,0,,,
2003,Insanity/Mental Illness,0,,,
2003,Unemployment,0,,,
2003,Poverty,0,,,
2003,Cancer,0,,,
2003,Divorce,0,,,
2003,Not having Children(Barrenness/Impotency,0,,,
2003,Bankruptcy,0,,,
2003,Dowry Dispute,0,,,
2003,Ideological Causes/Hero Worshipping,0,,,
2003,Love Affairs,0,,,
2003,Illness (Aids/STD),0,,,
2003,Death of Dear Person,0,,,
2003,Paralysis,0,,,
2003,Professional/Career Problem,0,,,
2003,Cancellation of Marriage,0,,,
2003,Physical Abuse (Rape/Incest Etc.),0,,,
2003,Property Dispute,0,,,
2003,Drug Abuse/Addiction,0,,,
2004,Bankruptcy,0,,,
2004,Cancellation of Marriage,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2004,Other Prolonged Illness,0,,,
2004,Poverty,0,,,
2004,Property Dispute,0,,,
2004,Fall in Social Reputation,0,,,
2004,Illegitimate Pregnancy,0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Failure in Examination,0,,,
2004,Insanity/Mental Illness,0,,,
2004,Professional/Career Problem,0,,,
2004,Dowry Dispute,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Love Affairs,0,,,
2004,Divorce,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Causes Not known,0,,,
2004,Unemployment,0,,,
2004,Death of Dear Person,0,,,
2004,Illness (Aids/STD),0,,,
2004,Suspected/Illicit Relation,0,,,
2004,Cancer,0,,,
2004,Other Causes (Please Specity),0,,,
2004,Paralysis,0,,,
2004,Fall in Social Reputation,0,,,
2004,Unemployment,0,,,
2004,Poverty,0,,,
2004,Illness (Aids/STD),0,,,
2004,Death of Dear Person,0,,,
2004,Other Causes (Please Specity),0,,,
2004,Cancer,0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2004,Cancellation of Marriage,0,,,
2004,Causes Not known,0,,,
2004,Paralysis,0,,,
2004,Professional/Career Problem,0,,,
2004,Family Problems,0,,,
2004,Love Affairs,0,,,
2004,Other Prolonged Illness,0,,,
2004,Property Dispute,0,,,
2004,Dowry Dispute,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Illegitimate Pregnancy,0,,,
2004,Bankruptcy,0,,,
2004,Insanity/Mental Illness,0,,,
2004,Divorce,0,,,
2004,Failure in Examination,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Suspected/Illicit Relation,0,,,
2004,Suspected/Illicit Relation,0,,,
2004,Cancellation of Marriage,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Illness (Aids/STD),0,,,
2004,Illegitimate Pregnancy,0,,,
2004,Bankruptcy,0,,,
2004,Cancer,0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Property Dispute,0,,,
2004,Other Causes (Please Specity),0,,,
2004,Poverty,0,,,
2004,Dowry Dispute,0,,,
2004,Fall in Social Reputation,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2004,Divorce,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Cancer,0,,,
2004,Property Dispute,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Cancellation of Marriage,0,,,
2004,Death of Dear Person,0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Paralysis,0,,,
2004,Illness (Aids/STD),0,,,
2004,Dowry Dispute,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Fall in Social Reputation,0,,,
2004,Illegitimate Pregnancy,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2004,Divorce,0,,,
2004,Cancellation of Marriage,0,,,
2004,Divorce,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2004,Dowry Dispute,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Property Dispute,0,,,
2004,Causes Not known,0,,,
2004,Illegitimate Pregnancy,0,,,
2004,Death of Dear Person,0,,,
2004,Poverty,0,,,
2004,Suspected/Illicit Relation,0,,,
2004,Failure in Examination,0,,,
2004,Cancer,0,,,
2004,Bankruptcy,0,,,
2004,Illness (Aids/STD),0,,,
2004,Paralysis,0,,,
2004,Professional/Career Problem,0,,,
2004,Fall in Social Reputation,0,,,
2004,Love Affairs,0,,,
2004,Unemployment,0,,,
2004,Failure in Examination,0,,,
2004,Poverty,0,,,
2004,Dowry Dispute,0,,,
2004,Suspected/Illicit Relation,0,,,
2004,Unemployment,0,,,
2004,Cancer,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Cancellation of Marriage,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Paralysis,0,,,
